#"+ESI Scan (3.293-9.030 min, 347 Scans) Frag=175.0V sk_bpc_157_50FA_75degrees_2h_241107_T04.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
0,54.9239,121.994102478027
1,55.9332,274.891357421875
2,68.0273,193.153564453125
3,68.0615,112.969429016113
4,69.9400,172.191360473633
5,70.9342,127.250038146973
6,71.9264,1626.55029296875
7,72.9332,404.850189208984
8,73.9398,145.003463745117
9,76.0273,415.459167480469
10,77.9725,173.45361328125
11,77.9913,210.743072509766
12,80.0545,114.59423828125
13,80.9263,981.752685546875
14,82.0388,444.848968505859
15,83.9462,204.963943481445
16,84.0185,174.871597290039
17,84.9297,112.50203704834
18,86.9138,516.063537597656
19,87.9324,284.950225830078
20,88.9351,182.1240234375
21,89.9217,558.223510742188
22,89.9421,691.802978515625
23,92.0344,128.915145874023
24,92.0614,107.38737487793
25,94.0583,141.342880249023
26,94.0787,159.709991455078
27,95.9489,271.600158691406
28,96.0528,734.263732910156
29,96.9543,667.358215332031
30,97.9550,421.280090332031
31,98.0345,501.118682861328
32,98.9362,2142.41357421875
33,99.0617,192.865798950195
34,99.9329,326.940979003906
35,100.0449,262.3564453125
36,101.1155,6150.3701171875
37,101.2089,160.670623779297
38,101.9515,160.124893188477
39,102.0325,132.748809814453
40,102.1187,490.183807373047
41,104.0496,277.304901123047
42,104.9228,792.236511230469
43,105.9763,420.992279052734
44,106.0664,390.925262451172
45,106.9370,116.317642211914
46,107.0668,317.207336425781
47,107.9092,127.157699584961
48,108.0598,1148.84997558594
49,108.0940,735.502014160156
50,108.9319,439.788879394531
51,109.0595,148.295104980469
52,110.0163,1538.88635253906
53,110.0409,2004.94982910156
54,110.0738,997.616333007813
55,110.9587,159.237899780273
56,111.0453,196.503768920898
57,111.9613,145.287628173828
58,112.0505,366.382537841797
59,112.9510,1404.15344238281
60,113.0758,228.417221069336
61,113.9520,342.497711181641
62,114.0612,455.958618164063
63,114.9526,573.620910644531
64,115.9593,409.05859375
65,116.0435,107.416549682617
66,116.9360,211.497528076172
67,117.0755,429.500274658203
68,117.9322,299.598693847656
69,118.0698,293.911102294922
70,120.0767,608.785278320313
71,121.0824,561.307739257813
72,121.9523,237.429290771484
73,122.0687,2982.24047851563
74,123.0728,572.552490234375
75,124.0580,442.706726074219
76,124.0876,311.751342773438
77,125.9443,149.509216308594
78,126.0620,412.049224853516
79,127.9413,647.653198242188
80,128.0421,1056.28637695313
81,128.9689,212.203826904297
82,129.0526,142.039154052734
83,129.1447,158.193206787109
84,129.9645,215.311508178711
85,130.0563,176.472427368164
86,130.9608,314.153076171875
87,131.9538,237.530746459961
88,132.0807,168.723419189453
89,132.9559,157.167617797852
90,133.9739,350.062316894531
91,134.0437,307.468292236328
92,134.0790,283.806488037109
93,134.1072,197.265991210938
94,136.0814,688.821044921875
95,137.0785,167.475830078125
