#"+ESI Scan (2.987-9.305 min, 382 Scans) Frag=175.0V sk_75FA_75degrees_30min_241105.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
325,1319.6234,183.599853515625
326,1320.6186,139.461761474609
327,1400.6786,1113.62780761719
328,1401.6840,837.934204101563
329,1402.6828,359.419097900391
330,1403.7003,140.276062011719
331,1418.7025,17394.91015625
332,1419.1864,1071.72021484375
333,1419.7034,13705.73828125
334,1420.1724,734.579040527344
335,1420.7000,5857.546875
336,1421.1752,403.673095703125
337,1421.6998,1911.21228027344
338,1422.6958,563.498168945313
339,1423.7074,210.569458007813
340,1440.6682,230.922348022461
341,1441.6782,194.451934814453
342,1442.6553,234.160568237305
343,1443.6639,156.906692504883
344,1446.6834,161.360443115234
345,1447.7023,134.254104614258
346,1456.6300,190.230773925781
347,1457.6479,145.317642211914
348,1472.6071,771.479187011719
349,1473.6133,547.319274902344
350,1474.6121,263.844635009766
351,1475.6605,132.679214477539
