#"+ESI Scan (7.951-10.604 min, 161 Scans) Frag=175.0V sk_vip_95FA_95degrees_3h_241101_T01.d  Deconvoluted "
#Point,X(Thompsons),Y(Counts)
101,202.0959,121.131843566895
102,204.1026,159.330429077148
103,206.1007,155.11344909668
104,208.0995,310.717681884766
105,210.0901,295.83544921875
106,210.1244,217.739700317383
107,212.0931,196.775695800781
108,214.0989,177.733703613281
109,216.0966,131.481643676758
110,218.1120,142.846664428711
111,220.1089,170.69694519043
112,220.1475,118.389236450195
113,222.0967,236.847366333008
114,223.1119,238.055023193359
115,224.1007,284.158477783203
116,226.1109,571.115844726563
117,227.1159,255.692886352539
118,228.1071,164.469909667969
119,232.1087,110.323623657227
120,234.1154,149.398208618164
121,236.1027,329.224609375
122,236.1401,247.091430664063
123,238.1138,269.745269775391
124,240.1140,222.310546875
125,242.1047,304.523864746094
126,244.1298,233.180465698242
127,246.1365,159.989883422852
128,248.1260,134.530059814453
129,250.1198,317.674011230469
130,252.1253,214.872283935547
131,254.1151,334.818145751953
132,255.1239,110.34236907959
133,256.1167,156.826446533203
134,258.1108,118.231155395508
135,261.1441,126.969367980957
136,264.1315,152.168685913086
137,266.1258,365.834075927734
138,268.1264,256.100708007813
139,270.1201,160.204437255859
140,272.1178,349.129699707031
141,273.1287,136.421447753906
142,276.1386,112.807518005371
143,277.1438,355.730133056641
144,278.1404,188.307434082031
145,280.1261,183.268432617188
146,282.1278,290.713012695313
147,284.1276,154.389923095703
148,286.1290,197.033706665039
149,288.1365,110.92822265625
150,289.1432,1883.18896484375
151,290.1485,377.498657226563
152,291.1515,172.92756652832
153,292.1547,132.077224731445
154,294.1255,288.961578369141
155,296.1418,182.080078125
156,298.1249,164.489044189453
157,300.1329,141.473220825195
158,302.1257,193.781982421875
159,303.1540,270.180480957031
160,305.1542,148.337493896484
161,306.1580,101.884963989258
162,307.1577,155.131637573242
163,308.1487,164.623657226563
164,310.1364,184.907424926758
165,312.1418,222.749496459961
166,314.1419,146.906112670898
167,317.1700,272.525543212891
168,318.1660,110.139770507813
169,319.1589,128.920349121094
170,321.1474,158.812805175781
171,322.1489,124.156578063965
172,323.1711,256.960083007813
173,324.1627,186.394653320313
174,326.1497,149.919311523438
175,328.1419,179.982467651367
176,330.1539,169.381866455078
177,331.1665,143.518478393555
178,333.1674,167.388671875
179,335.1804,411.433715820313
180,336.1759,144.291259765625
181,337.1783,119.080642700195
182,338.1576,109.188255310059
183,340.1534,176.518646240234
184,341.1841,203.20979309082
185,342.1581,164.781326293945
186,344.1537,150.426010131836
187,345.1646,252.341415405273
188,346.1613,117.643051147461
189,347.1810,359.028747558594
190,348.1788,118.566879272461
191,349.1868,237.523010253906
192,350.1830,113.156867980957
193,351.1816,231.411575317383
194,352.1682,137.612075805664
195,354.1604,143.263702392578
196,356.1461,135.266738891602
197,358.1624,117.437698364258
198,360.1661,107.052268981934
199,361.1906,188.370346069336
200,363.1811,187.570159912109
201,364.1816,101.357948303223
202,365.1787,175.267929077148
203,366.1745,125.068382263184
204,367.1746,141.91780090332
205,368.1767,138.950775146484
206,369.1854,181.670166015625
207,370.1745,135.835189819336
208,375.1974,128.453521728516
209,377.1915,240.005020141602
210,379.1944,152.656875610352
211,381.2050,333.7734375
